название,фото,цена,краткая информация
ToyotaCaldina,https://im.mashina.kg/tachka/images//9/f/0/9f0de83232b3a8e7758f555cee166772_240x180.jpg,"$4200

356160сом","2002 г., 2 л., автомат
универсал, бензин
руль справа, 302 000 км
Ош
   "
ToyotaAuris,https://im.mashina.kg/tachka/images//7/0/a/70aa945c9c9562a0b6a405fd9e80ee9a_240x180.jpg,"$5800

491840сом","2008 г., 2 л., механика
хэтчбек 5 дв., дизель
руль слева, 290 000 км
Ош
   "
ToyotaCorollaVerso,https://im.mashina.kg/tachka/images//1/5/f/15f1aaa7709c5298f01d0de9f88cf1a1_240x180.jpg,"$5896

500000сом","2003 г., 1.8 л., механика
минивэн, бензин
руль слева, 174 766 км
Узген
"
ToyotaCamry,https://im.mashina.kg/tachka/images//a/6/5/a6540c720d9c113f0c6640650b06ba52_240x180.jpg,"$13500

1144800сом","2014 г., 2.5 л., автомат
седан, бензин
руль слева, 136 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//0/4/c/04c13ee8ef513b36869d49e43968f452_240x180.jpg,"$7500

636000сом","2001 г., 3 л., автомат
седан, бензин
руль слева, 130 000 км
Ош
   "
Toyota4Runner,https://im.mashina.kg/tachka/images//4/6/0/460d87728c03a1772b9e83e205385fe5_240x180.jpg,"$18000

1526400сом","2006 г., 4 л., автомат
внедорожник 5 дв., бензин
руль слева
Ош
   "
ToyotaMarkII,https://im.mashina.kg/tachka/images//4/1/4/414afc4fb1c95fcbd5c6dd985d7bada6_240x180.jpg,"$6500

551140сом","2003 г., 2.5 л., автомат
седан, бензин
руль справа, 165 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//3/b/8/3b8d2fa17a06c436f4c3b7f2af5002b3_240x180.jpg,"$6958

590000сом","2003 г., 2.4 л., автомат
седан, бензин
руль слева, 230 000 км
Кара-К"
ToyotaIpsum,https://im.mashina.kg/tachka/images//a/1/0/a10f8484536458e15b40dc6cdba89f46_240x180.jpg,"$4481

380000сом","1998 г., 2 л., автомат
минивэн, бензин
руль справа, 424 000 км
Ош
   "
ToyotaPrevia,https://im.mashina.kg/tachka/images//8/0/0/80061f010c8a6a717531193a27cdc74b_240x180.jpg,"$1533

130000сом","1994 г., 2.4 л., механика
минивэн, бензин
руль слева
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//7/9/b/79bae520b122aa6691b3bfc3b62e23e5_240x180.jpg,"$12500

1059884сом","2013 г., 1.6 л., вариатор
седан, бензин
руль слева, 124 000 км
Ош
   "
ToyotaPrevia,https://im.mashina.kg/tachka/images//2/4/4/24453c081fd3f9b36913ec3045cf106b_240x180.jpg,"$3302

280000сом","1998 г., 2.4 л., механика
минивэн, бензин
руль слева, 789 660 км
Ош
   "
ToyotaAygo,https://im.mashina.kg/tachka/images//e/1/9/e19727c4c7f8d4a040607444397d0851_240x180.jpg,"$3302

280000сом","2007 г., 1 л., механика
хэтчбек 5 дв., бензин
руль слева, 165 000 км
Ош
   "
ToyotaChaser,https://im.mashina.kg/tachka/images//f/9/0/f90514c1009da062733a1fd31ee22821_240x180.jpg,"$4500

381600сом","2000 г., 2 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaMarkII,https://im.mashina.kg/tachka/images//a/c/d/acd2576d14176a306f3c1fc0ba18cdb9_240x180.jpg,"$3420

290000сом","1994 г., 2.5 л., автомат
седан, бензин
руль справа, 250 000 км
Ош
   "
ToyotaPrius,https://t1-client.toyota-europe.com/images/toyota-logo.jpg,"$3479

295000сом","1999 г., 1.5 л., автомат
седан, гибрид
руль справа, 290 000 км
Ош
   "
ToyotaIst,https://im.mashina.kg/tachka/images//e/3/8/e386594052a4bfb4058f8ed3f91ff11d_240x180.jpg,"$5543

470000сом","2003 г., 1.3 л., автомат
хэтчбек 5 дв., бензин
руль справа, 214 000 км
Ош
   "
ToyotaRAV4,https://im.mashina.kg/tachka/images//5/f/1/5f1851d509f84e639fb8b09c4d3c34f6_240x180.jpg,"$7311

620000сом","2001 г., 2 л., автомат
внедорожник 5 дв., бензин
руль слева, 280 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//c/3/2/c3297de0fad03ddbe8667d4fad5dbfd3_240x180.jpg,"$4128

350000сом","2003 г., 1.6 л., механика
седан, бензин
руль слева, 290 000 км
Кара-С"
ToyotaCorollaVerso,https://im.mashina.kg/tachka/images//f/e/5/fe594b40d1a18fc562f72f10550b73a7_240x180.jpg,"$9500

805600сом","2008 г., 1.8 л., механика
минивэн, бензин
руль слева, 126 000 км
Ош
   "
ToyotaIst,https://im.mashina.kg/tachka/images//d/3/c/d3cc850084b4f43cb7729cae70a00069_240x180.jpg,"$6132

520000сом","2004 г., 1.5 л., автомат
хэтчбек 5 дв., бензин
руль слева, 130 000 км
Ош
   "
ToyotaEstima,https://im.mashina.kg/tachka/images//c/d/d/cdd33a7aa0569fb3c0433f902f94c7e0_240x180.jpg,"$8300

703840сом","2003 г., 2.4 л., автомат
минивэн, бензин
руль справа, 165 000 км
Кара-С"
ToyotaCamry,https://im.mashina.kg/tachka/images//8/3/1/83104e54e7986e86694ddd28a01702dc_240x180.jpg,"$6500

551200сом","2002 г., 2.4 л., механика
седан, бензин
руль слева, 250 000 км
Кара-С"
ToyotaAltezza,https://im.mashina.kg/tachka/images//b/0/e/b0e322d18c43c4d87a120f99c54b1f7d_240x180.jpg,"$6486

550000сом","2003 г., 2 л., автомат
седан, бензин
руль справа, 240 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//4/6/4/464c7cf26575e63cd5f41ee0e1a2dc6e_240x180.jpg,"$15600

1322735сом","2015 г., 2.5 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaEstima,https://im.mashina.kg/tachka/images//8/2/3/823f42c903e489eaa60c39a3d1452e09_240x180.jpg,"$5542

470000сом","2001 г., 2.4 л., вариатор
минивэн, гибрид
руль справа
Ош
   "
ToyotaWish,https://im.mashina.kg/tachka/images//b/3/e/b3ed56bc5c4ae385c4338f8d6d355fe9_240x180.jpg,"$6840

580000сом","2003 г., 1.8 л., автомат
минивэн, бензин
руль справа, 200 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//f/8/6/f866ad9110af7974b33054aa0e56ead7_240x180.jpg,"$14500

1229600сом","2014 г., 2.5 л., вариатор
седан, гибрид
руль слева, 160 000 км
Ош
   "
ToyotaWish,https://im.mashina.kg/tachka/images//3/2/0/32013ef7f28312e3d2fab4be72252f5e_240x180.jpg,"$6840

580000сом","2003 г., 1.8 л., автомат
минивэн, бензин
руль справа
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//b/a/a/baa092b980478e8a3e5e2162cd0c951d_240x180.jpg,"$7000

593600сом","2007 г., 1.6 л., механика
седан, бензин
руль слева, 333 000 км
Ош
   "
ToyotaCorolla,https://t1-client.toyota-europe.com/images/toyota-logo.jpg,"$5900

500320сом","2006 г., 1.6 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//7/5/9/7593d64414871ba1760c68e045631b1c_240x180.jpg,"$3066

260000сом","2000 г., 1.6 л., механика
седан, бензин
руль слева, 364 388 км
Ош
   "
ToyotaAvensis,https://im.mashina.kg/tachka/images//1/f/6/1f6ab89493968aab47cef22adf5a2dd5_240x180.jpg,"$3066

260000сом","1998 г., 1.6 л., механика
седан, бензин
руль слева, 300 000 км
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//2/9/e/29e12aa2e5dbacec64c45a5a208be725_240x180.jpg,"$7665

650000сом","2002 г., 2.4 л., автомат
седан, бензин
руль слева, 199 999 км
Узген
"
ToyotaPriusc,https://im.mashina.kg/tachka/images//a/b/8/ab8a540d25cb9ccf699d622122f0de60_240x180.jpg,"$10000

848000сом","2012 г., 1.5 л., вариатор
хэтчбек 5 дв., гибрид
руль слева, 140 000 км
Ош
   "
ToyotaPlatz,https://im.mashina.kg/tachka/images//c/6/f/c6fa19510faee62481ac3ca42d773abc_240x180.jpg,"$4000

339200сом","2000 г., 1.5 л., автомат
седан, бензин
руль справа
Ош
   "
ToyotaCamry,https://t1-client.toyota-europe.com/images/toyota-logo.jpg,"$11793

1000008сом","2012 г., 2.5 л., вариатор
седан, гибрид
руль слева
Ош
   "
ToyotaHiAce,https://im.mashina.kg/tachka/images//8/f/8/8f86af62fd0ad47836698ad3cf3670e3_240x180.jpg,"$7901

670000сом","2002 г., 3 л., автомат
минивэн, дизель
руль справа, 162 000 км
Ноокат"
ToyotaAllion,https://im.mashina.kg/tachka/images//c/1/e/c1e9dcfd0778c4af00376246d8718b81_240x180.jpg,"$7000

593600сом","2004 г., 1.8 л., автомат
седан, бензин
руль справа, 240 455 км
Ош
   "
ToyotaPrius,https://im.mashina.kg/tachka/images//3/7/8/378f691bff4e8580c7187b4b63757509_240x180.jpg,"$16000

1356800сом","2016 г., 1.8 л., вариатор
хэтчбек 5 дв., гибрид
руль слева, 120 000 км
Ош
   "
ToyotaPrevia,https://im.mashina.kg/tachka/images//5/d/3/5d38b63953b6587d21fea8ab56f5ade1_240x180.jpg,"$6500

551200сом","2000 г., 2.4 л., механика
минивэн, бензин
руль слева, 344 000 км
Ноокат"
ToyotaEstima,https://im.mashina.kg/tachka/images//3/9/5/3955ec16737cc1479be4e9d2f42290c2_240x180.jpg,"$7217

612000сом","2002 г., 3 л., автомат
минивэн, бензин
руль справа, 340 000 км
Ош
   "
ToyotaAlphard,https://im.mashina.kg/tachka/images//8/e/9/8e90812ca9c5e3f6aecead3dab5716dd_240x180.jpg,"$10500

890400сом","2004 г., 3 л., автомат
минивэн, бензин
руль справа
Ош
   "
ToyotaEstima,https://im.mashina.kg/tachka/images//f/7/c/f7c753c5c5c3484a7d70338c7061e840_240x180.jpg,"$5500

466400сом","2002 г., 2.4 л., автомат
минивэн, бензин
руль справа
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//3/7/c/37c9d3bf920199caa59275b4ebe3c3a8_240x180.jpg,"$11000

932800сом","2011 г., 2.5 л., автомат
седан, бензин
руль слева
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//e/6/f/e6fc200b7f85318f8ca78b277a3985c1_240x180.jpg,"$6000

508800сом","2002 г., 1.6 л., автомат
седан, бензин
руль слева, 200 000 км
Ош
   "
ToyotaRAV4,https://im.mashina.kg/tachka/images//e/9/3/e93ab64b9068bc41695f1f4339dd0d54_240x180.jpg,"$10499

890315сом","2007 г., 2.4 л., автомат
внедорожник 5 дв., бензин
руль слева
Ош
   "
ToyotaIst,https://im.mashina.kg/tachka/images//e/3/b/e3bd9bda092e9169775a9631e52ea1e9_240x180.jpg,"$5300

449440сом","2002 г., 1.5 л., автомат
хэтчбек 5 дв., бензин
руль справа, 250 000 км
Узген
"
ToyotaHarrier,https://im.mashina.kg/tachka/images//4/5/3/453827fbdece1fafbba9ac5c0ee7c728_240x180.jpg,"$11000

932800сом","2003 г., 3 л., автомат
внедорожник 5 дв., бензин
руль справа, 189 342 км
Ош
   "
ToyotaMarkII,https://im.mashina.kg/tachka/images//4/6/b/46b75463dd690fec21eb302bd95b8d71_240x180.jpg,"$5000

424000сом","2001 г., 2.5 л., автомат
седан, бензин
руль справа, 108 000 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//e/f/b/efba5e9dc4b8917f6f49bb6410808d95_240x180.jpg,"$8200

695360сом","2008 г., 1.6 л., механика
седан, бензин
руль слева, 200 000 км
Ош
   "
ToyotaEstima,https://im.mashina.kg/tachka/images//0/9/d/09d6c60ff2c1365eb3338c7b26c5a77e_240x180.jpg,"$10200

864960сом","2005 г., 3 л., автомат
минивэн, бензин
руль справа, 135 000 км
Узген
"
ToyotaCamry,https://im.mashina.kg/tachka/images//b/1/d/b1dc5963d23584c8dc3d038a7b0d13ba_240x180.jpg,"$7500

636000сом","2003 г., 2.4 л., автомат
седан, бензин
руль слева, 230 000 км
Ош
   "
ToyotaLandCruiser,https://im.mashina.kg/tachka/images//4/5/0/450d489b869c1ee39c977e6f8563a94d_240x180.jpg,"$9000

763200сом","1998 г., 4.7 л., механика
внедорожник 5 дв., бензин
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//1/f/b/1fb9f4761c0b5496826377864e516e00_240x180.jpg,"$16000

1356800сом","2016 г., 2.5 л., вариатор
седан, гибрид
руль слева
Ош
   "
ToyotaCamry,https://im.mashina.kg/tachka/images//d/a/2/da2ef19e2bd62ed0349f46ab883bdb2d_240x180.jpg,"$6958

590000сом","2001 г., 3 л., автомат
седан, бензин
руль слева, 340 000 км
Ноокат"
ToyotaMarkX,https://im.mashina.kg/tachka/images//4/c/8/4c867f9da3a94fb92aa58ebeecbdd9ac_240x180.jpg,"$6000

508800сом","2008 г., 2.5 л., автомат
седан, бензин
руль справа, 111 655 км
Ош
   "
ToyotaHarrier,https://im.mashina.kg/tachka/images//9/f/8/9f84caa0c1a04daacd8aeed4d4c2ef2d_240x180.jpg,"$5800

491840сом","1999 г., 2.2 л., автомат
внедорожник 5 дв., бензин
руль справа, 284 350 км
Ош
   "
ToyotaCorolla,https://im.mashina.kg/tachka/images//b/7/f/b7f5d23b91a459c8baf2b5e074d6e068_240x180.jpg,"$6200

525760сом","2007 г., 1.6 л., механика
седан, бензин
руль слева, 219 950 км
Ош
   "
