название,цена,фото
"Mercedes-Benz GLK-Класс X204 [рестайлинг] , 2012",18000$,https://i.cars.kg/preview/r/qYPTOhBhdSbX4gnpe9PPxg/1080x-/20210414/0f78e61dfaeb02a84afa8d63c3200698.jpg
"Mercedes-Benz S-Класс W140/C140 [рестайлинг] Седан , 1995",4200$,https://i.cars.kg/preview/r/VTZfiirp0cthcYALTIjneQ/1080x-/20210414/2b01071ce19ccc5de7a231086da21445.jpg
"Mercedes-Benz C-Класс W203/S203/CL203 , 2003",4900$,https://i.cars.kg/preview/r/4t1LYJuziPU7dNbX4W8ZCg/1080x-/20210414/02ce3db7df5968700c992ce00f51083d.jpg
"Mercedes-Benz A-Класс , 1999",2800$,https://i.cars.kg/preview/r/A7JuGx4emfT886VAVY-Nog/1080x-/20210413/fd63c877897075c8db88a12d5cf9ecee.jpg
"Mercedes-Benz S-Класс W220 [рестайлинг] Седан , 2003",1$,https://i.cars.kg/preview/r/sTr2KJXumzZOaGJ6Z9ihJQ/1080x-/20210413/98550e4c47ee53cb55d6bea3748a6d4a.jpg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 1999",3300$,https://i.cars.kg/preview/r/xGb-JyDXIIwdy5_n6eja5A/1080x-/20210412/fbdcde68a7d95f71732cc22d67099648.jpg
"Mercedes-Benz S-Класс W221 Седан , 2006",17500$,https://i.cars.kg/preview/r/aTvR-9Fsj2UTXLed5doOrA/1080x-/20210411/5132ee654e499c8dff78de76f94e5a07.jpg
"Mercedes-Benz Vito , 1999",3500$,https://i.cars.kg/preview/r/oHXGKpH3ESeszoMh6B-TMA/1080x-/20210410/b9b55011f569ecc064178792dd4f39d0.jpg
"Mercedes-Benz E-Класс W210/S210 [рестайлинг] Седан , 1999",8500$,https://i.cars.kg/preview/r/Tj8L6zp6I8fbXhdtgEX6vA/1080x-/20210407/be1c554be111abb0e76fdd76a121c4d7.jpeg
"Mercedes-Benz S-Класс W221 AMG седан 4-дв. , 2006",12000$,https://i.cars.kg/preview/r/XjagLGqFlHk4XXltbb7k3g/1080x-/20210406/369b422f031a36ea44ed08d03794bc32.jpg
"Mercedes-Benz , 1993",3200$,https://i.cars.kg/preview/r/-B-vZZmHbes0-Yrh5cFPDQ/1080x-/20210406/23f37269869da1aba5ca5fca74bc016c.jpg
"Mercedes-Benz E-Класс W124 Седан 4-дв. , 1992",3$,https://i.cars.kg/preview/r/xetcFazssjhyReU5w1cuQw/1080x-/20210406/12a7aedc87a9e913839782c1ec0dac94.jpg
